posisi,tautan,perusahaan,lokasi,pengalaman,keterampilan,combined_features,KMeans_Word2Vec_Labels,DBSCAN_Word2Vec_Labels,KMeans_FastText_Labels,DBSCAN_FastText_Labels
"Pekerjaan Freelance Misi Menarik WFH Admin Reward Rp25,000 - RAI (SQ)",https://www.kitalulus.com/lowongan/detail/pekerjaan-freelance-misi-menarik-wfh-admin-reward-rpkz,Freelance MisiSeru - PT. Kita Lulus Internasional,"Kota Tangerang Selatan, Banten",ketentuan,administrasi adaptasi cepat,ketentuan administrasi adaptasi cepat,2,0,0,0
Dapatkan Reward 10.000-25.000 Remote Work From Home Freelance (Admin WFH) - RAI (SQ),https://www.kitalulus.com/lowongan/detail/dapatkan-reward-1000025000-remote-work-from-hom-5kae,Freelance MisiSeru - PT. Kita Lulus Internasional,"Kota Makassar, Sulawesi Selatan",ketentuan,administrasi adaptasi cepat,ketentuan administrasi adaptasi cepat,2,0,0,0
"Freelance Admin Misi Seru Cashback Rp25,000 (WFH/REMOTE) - RAI (KR)",https://www.kitalulus.com/lowongan/detail/freelance-admin-misi-seru-cashback-rp25000-wfhr-fpc7,Freelance MisiSeru - PT. Kita Lulus Internasional,"Kabupaten Serang, Banten",ketentuan,administrasi adaptasi cepat,ketentuan administrasi adaptasi cepat,2,0,0,0
Spesialis eCommerce Marketing,https://www.kitalulus.com/lowongan/detail/spesialis-ecommerce-marketing-qqnm,Rajawali Berdikari Indonesia,"Jakarta Selatan, DKI Jakarta",minim 1,ecommerc analisi pemasaran manajemen ecommerc,minim 1 ecommerc analisi pemasaran manajemen ecommerc,1,1,0,1
Freelance Admin (Q) Remote WFH Mengerjakan Misi - Yas 3,https://www.kitalulus.com/lowongan/detail/freelance-admin-q-remote-wfh-mengerjakan-misi-zleh,Freelance MisiSeru - PT Kita Lulus Internasional,"Jakarta Pusat, DKI Jakarta",ketentuan,administrasi,ketentuan administrasi,2,2,0,2
Admin Online,https://www.kitalulus.com/lowongan/detail/admin-online-kjun,S-Gala.com,"Kabupaten Bandung, Jawa Barat",minim 1,koordinasi penjualan onlin administrasi penjualan keterampilan penjualan,minim 1 koordinasi penjualan onlin administrasi penjualan keterampilan penjualan,1,3,2,3
Warehose Staff,https://www.kitalulus.com/lowongan/detail/warehose-staff-feuo,PT  Yongwang electronics indonesia,"Jakarta Barat, DKI Jakarta",minim 1,berkomunikasi bahasa inggri microsoft excel koordinasi pergudangan,minim 1 berkomunikasi bahasa inggri microsoft excel koordinasi pergudangan,1,4,0,4
Host Live Socmed,https://www.kitalulus.com/lowongan/detail/host-live-socmed-z1qa,PT Integritas Dinamika Indonesia,"Kabupaten Badung, Bali",minim 1,siaran acara langsung memahami produksi stream langsung,minim 1 siaran acara langsung memahami produksi stream langsung,1,5,0,5
Telemarketing officer,https://www.kitalulus.com/lowongan/detail/telemarketing-officer-etgk,PT Timexs Indonesia,"Kota Depok, Jawa Barat",ketentuan,analisi analisi kebutuhan keuangan asuransi kendaraan,ketentuan analisi analisi kebutuhan keuangan asuransi kendaraan,0,6,0,6
Daftar Segera Kerja Freelance Admin dari Rumah Reward Puluhan Ribu - WAF,https://www.kitalulus.com/lowongan/detail/daftar-segera-kerja-freelance-admin-dari-rumah-rew-qn8b,Freelance MisiSeru - Kita Lulus,"Kota Tangerang Selatan, Banten",ketentuan,administrasi,ketentuan administrasi,2,2,0,2
"Freelance Admin dari Rumah Reward Puluhan Ribu, Daftar Segera - WAF",https://www.kitalulus.com/lowongan/detail/freelance-admin-dari-rumah-reward-puluhan-ribu-da-ya2m,Freelance MisiSeru - Kita Lulus,"Jakarta Selatan, DKI Jakarta",ketentuan,administrasi,ketentuan administrasi,2,2,0,2
Freelance Admin Kerja Dari Rumah Dapat Puluhan Ribu (WFH/REMOTE) (Q) -VA,https://www.kitalulus.com/lowongan/detail/freelance-admin-kerja-dari-rumah-dapat-puluhan-rib-pfnu,Freelance MisiSeru - PT. Kita Lulus Internasional,"Kota Makassar, Sulawesi Selatan",ketentuan,administrasi,ketentuan administrasi,2,2,0,2
Marketing Perbankan (CABANG AMBASADOR JAKSEL),https://www.kitalulus.com/lowongan/detail/marketing-perbankan-cabang-ambasador-jaksel-5pw7,PT Timexs Indonesia,"Jakarta Selatan, DKI Jakarta",ketentuan,keterampilan komunikasi,ketentuan keterampilan komunikasi,1,7,2,7
CREW OUTLET GOLQI CHICKEN MAROS,https://www.kitalulus.com/lowongan/detail/crew-outlet-golqi-chicken-maros-s93l,PT Golqi Sukses Mulia,"Kabupaten Maros, Sulawesi Selatan",ketentuan,keterampilan memasak keterampilan pelayanan makanan minuman,ketentuan keterampilan memasak keterampilan pelayanan makanan minuman,1,8,2,8
Admin Service,https://www.kitalulus.com/lowongan/detail/admin-service-whdw,PT  Yongwang electronics indonesia,"Kota Bandung, Jawa Barat",minim 1,akurasi administrasi analisi berkomunikasi bahasa inggri administrasi rekaman,minim 1 akurasi administrasi analisi berkomunikasi bahasa inggri administrasi rekaman,1,9,0,9
Therapist Salon  (Jakarta Timur),https://www.kitalulus.com/lowongan/detail/therapist-salon-jakarta-timur-u6x0,Salon Christopher,"Jakarta Timur, DKI Jakarta",ketentuan,manikur pedikur alat manikur pijat keterampilan pijat,ketentuan manikur pedikur alat manikur pijat keterampilan pijat,0,10,0,10
Junior Caregiver Assistant,https://www.kitalulus.com/lowongan/detail/junior-caregiver-assistant-whfl,PT ASTA DAHAYU CONSULTING,"Jakarta Timur, DKI Jakarta",ketentuan,kemampuan menyesuaikan kebutuhan layanan pelanggan berorientasi layanan,ketentuan kemampuan menyesuaikan kebutuhan layanan pelanggan berorientasi layanan,1,11,2,11
SGS/SDS SMARTFREN KUDUS,https://www.kitalulus.com/lowongan/detail/sgssds-smartfren-kudus-7zpi,PT Artha Kreasi Utama,"Kabupaten Kudus, Jawa Tengah",minim 1,motor,minim 1 motor,1,12,1,12
Messengger,https://www.kitalulus.com/lowongan/detail/driver-rqgq,PT Nusapala Group,"Jakarta Barat, DKI Jakarta",minim 1,pembaruan pengemudi,minim 1 pembaruan pengemudi,1,13,1,13
SALES PROMOTOR KENDAL,https://www.kitalulus.com/lowongan/detail/sales-promotor-kendal-ujok,PT Artha Kreasi Utama,"Kabupaten Kendal, Jawa Tengah",minim 1,motor,minim 1 motor,1,12,1,12
Kepala Pengelola Gedung,https://www.kitalulus.com/lowongan/detail/kepala-pengelola-wjov,PT Dana Purna Investama,"Kota Tasikmalaya, Jawa Barat",minim 3,kelistrikan keterampilan pemeliharaan bangunan keahlian teknik keterampilan kepemimpinan tim,minim 3 kelistrikan keterampilan pemeliharaan bangunan keahlian teknik keterampilan kepemimpinan tim,1,14,2,14
Donor Acquisition Representative,https://www.kitalulus.com/lowongan/detail/donor-acquisition-representative-211v,Yayasan Konservasi Alam Nusantara,"Kota Bandung, Jawa Barat",minim 1,kepemimpinan keterampilan komunikasi pemasaran target komunikasi persuasif berbicara pemasaran penjualan,minim 1 kepemimpinan keterampilan komunikasi pemasaran target komunikasi persuasif berbicara pemasaran penjualan,1,15,2,15
SO Refinancing - Jakarta,https://www.kitalulus.com/lowongan/detail/sales-officer-refinancing-vaq9,PT Padma Raharja Sentosa,"Jakarta Selatan, DKI Jakarta",ketentuan,keterampilan penjualan,ketentuan keterampilan penjualan,2,16,2,16
COLLECTOR,https://www.kitalulus.com/lowongan/detail/collector-vnma,Duta Elektronik,"Kota Palembang, Sumatra Selatan",minim 1,animasi 2,minim 1 animasi 2,1,17,1,17
Supervisor Cleaning Service (Kota Semarang),https://www.kitalulus.com/lowongan/detail/supervisor-cleaning-service-kota-semarang-bbyg,PT Dana Purna Investama,"Kota Semarang, Jawa Tengah",minim 2,orientasi detail keterampilan komunikasi verbal,minim 2 orientasi detail keterampilan komunikasi verbal,1,18,0,18
Stock Controll Administrator,https://www.kitalulus.com/lowongan/detail/stock-controll-administrator-qqyf,PT  Yongwang electronics indonesia,"Jakarta Barat, DKI Jakarta",minim 1,akurasi kompilasi dokumen administratif manajemen administrasi analisi berkomunikasi bahasa inggri kompilasi data kontrol dokumen arsip elektronik kontrol dokumen elektronik input dokumen elektronik kompilasi berka kompilasi informasi arsip manual ketelitian penyimpanan data arsip fisik,minim 1 akurasi kompilasi dokumen administratif manajemen administrasi analisi berkomunikasi bahasa inggri kompilasi data kontrol dokumen arsip elektronik kontrol dokumen elektronik input dokumen elektronik kompilasi berka kompilasi informasi arsip manual ketelitian penyimpanan data arsip fisik,1,19,0,19
Hair Educator Makarizo (Jabodetabek),https://www.kitalulus.com/lowongan/detail/hair-educator-makarizo-jabodetabek-qobq,PT Akasha Wira International,"Jakarta Selatan, DKI Jakarta",minim 1,konsultasi kecantikan perawatan rambut konsultasi perawatan rambut pemilihan gaya rambut,minim 1 konsultasi kecantikan perawatan rambut konsultasi perawatan rambut pemilihan gaya rambut,1,20,2,20
Marketing Coordinator,https://www.kitalulus.com/lowongan/detail/marketing-coordinator-jpg3,EF English First Makassar,"Kota Manado, Sulawesi Utara",minim 1,alat pemasaran digit analisi strategi pemasaran alat pemasaran,minim 1 alat pemasaran digit analisi strategi pemasaran alat pemasaran,1,21,2,21
Agent Data Entry KYC (Sleman),https://www.kitalulus.com/lowongan/detail/agent-data-entry-kyc-sleman-8ew0,Rajawali Berdikari Indonesia,"Kabupaten Sleman, DI Yogyakarta",ketentuan,akurasi mengetik cepat kecepatan mengetik,ketentuan akurasi mengetik cepat kecepatan mengetik,1,22,0,22
Direct Sales Wifi/Area Coordinator BZN Bogor,https://www.kitalulus.com/lowongan/detail/direct-sales-wifiarea-coordinator-bogor-pp6l,PT Duta Generasi Mandiri,"Kabupaten Bogor, Jawa Barat",minim 1,kemampuan beradaptasi kebutuhan penjualan pengembangan penjualan b 2 c,minim 1 kemampuan beradaptasi kebutuhan penjualan pengembangan penjualan b 2 c,1,23,0,23
Sales Marketing Pematang Siantar,https://www.kitalulus.com/lowongan/detail/sales-marketing-siantar-qevw,PT Indonesia Bakery Family,"Kota Pematangsiantar, Sumatra Utara",minim 1,kemampuan menjual,minim 1 kemampuan menjual,1,24,1,24
SALES MARKETING LAHAT,https://www.kitalulus.com/lowongan/detail/sales-marketing-lahat-vo76,PT Indonesia Bakery Family,"Kabupaten Lahat, Sumatra Selatan",minim 1,kemampuan menjual,minim 1 kemampuan menjual,1,24,1,24
Admin Marketplace,https://www.kitalulus.com/lowongan/detail/admin-marketplace-vkih,PT Integritas Dinamika Indonesia,"Kota Surabaya, Jawa Timur",minim 1,manajemen marketplac,minim 1 manajemen marketplac,1,25,1,25
"Freelance Admin (Q) Misiseru Remote WFH Benefit Hingga 25,000 - yas 1",https://www.kitalulus.com/lowongan/detail/freelance-admin-q-misiseru-remote-wfh-benefit-hi-qcdh,Freelance MisiSeru - PT Kita Lulus Internasional,"Kabupaten Bandung, Jawa Barat",ketentuan,administrasi,ketentuan administrasi,2,2,0,2
"Pekerjaan Freelance Misi Menarik WFH Admin Reward Rp25,000 - RAI (SQ)",https://www.kitalulus.com/lowongan/detail/pekerjaan-freelance-misi-menarik-wfh-admin-reward-rpkz,Freelance MisiSeru - PT. Kita Lulus Internasional,"Kota Tangerang Selatan, Banten",ketentuan,administrasi adaptasi cepat,ketentuan administrasi adaptasi cepat,2,0,0,0
Dapatkan Reward 10.000-25.000 Remote Work From Home Freelance (Admin WFH) - RAI (SQ),https://www.kitalulus.com/lowongan/detail/dapatkan-reward-1000025000-remote-work-from-hom-5kae,Freelance MisiSeru - PT. Kita Lulus Internasional,"Kota Makassar, Sulawesi Selatan",ketentuan,administrasi adaptasi cepat,ketentuan administrasi adaptasi cepat,2,0,0,0
Spesialis eCommerce Marketing,https://www.kitalulus.com/lowongan/detail/spesialis-ecommerce-marketing-qqnm,Rajawali Berdikari Indonesia,"Jakarta Selatan, DKI Jakarta",minim 1,ecommerc analisi pemasaran manajemen ecommerc,minim 1 ecommerc analisi pemasaran manajemen ecommerc,1,1,0,1
Freelance Admin (Q) Remote WFH Mengerjakan Misi - Yas 3,https://www.kitalulus.com/lowongan/detail/freelance-admin-q-remote-wfh-mengerjakan-misi-zleh,Freelance MisiSeru - PT Kita Lulus Internasional,"Jakarta Pusat, DKI Jakarta",ketentuan,administrasi,ketentuan administrasi,2,2,0,2
Admin Online,https://www.kitalulus.com/lowongan/detail/admin-online-kjun,S-Gala.com,"Kabupaten Bandung, Jawa Barat",minim 1,koordinasi penjualan onlin administrasi penjualan keterampilan penjualan,minim 1 koordinasi penjualan onlin administrasi penjualan keterampilan penjualan,1,3,2,3
Warehose Staff,https://www.kitalulus.com/lowongan/detail/warehose-staff-feuo,PT  Yongwang electronics indonesia,"Jakarta Barat, DKI Jakarta",minim 1,berkomunikasi bahasa inggri microsoft excel koordinasi pergudangan,minim 1 berkomunikasi bahasa inggri microsoft excel koordinasi pergudangan,1,4,0,4
Host Live Socmed,https://www.kitalulus.com/lowongan/detail/host-live-socmed-z1qa,PT Integritas Dinamika Indonesia,"Kabupaten Badung, Bali",minim 1,siaran acara langsung memahami produksi stream langsung,minim 1 siaran acara langsung memahami produksi stream langsung,1,5,0,5
Telemarketing officer,https://www.kitalulus.com/lowongan/detail/telemarketing-officer-etgk,PT Timexs Indonesia,"Kota Depok, Jawa Barat",ketentuan,analisi analisi kebutuhan keuangan asuransi kendaraan,ketentuan analisi analisi kebutuhan keuangan asuransi kendaraan,0,6,0,6
Daftar Segera Kerja Freelance Admin dari Rumah Reward Puluhan Ribu - WAF,https://www.kitalulus.com/lowongan/detail/daftar-segera-kerja-freelance-admin-dari-rumah-rew-qn8b,Freelance MisiSeru - Kita Lulus,"Kota Tangerang Selatan, Banten",ketentuan,administrasi,ketentuan administrasi,2,2,0,2
"Freelance Admin dari Rumah Reward Puluhan Ribu, Daftar Segera - WAF",https://www.kitalulus.com/lowongan/detail/freelance-admin-dari-rumah-reward-puluhan-ribu-da-ya2m,Freelance MisiSeru - Kita Lulus,"Jakarta Selatan, DKI Jakarta",ketentuan,administrasi,ketentuan administrasi,2,2,0,2
Freelance Admin Kerja Dari Rumah Dapat Puluhan Ribu (WFH/REMOTE) (Q) -VA,https://www.kitalulus.com/lowongan/detail/freelance-admin-kerja-dari-rumah-dapat-puluhan-rib-pfnu,Freelance MisiSeru - PT. Kita Lulus Internasional,"Kota Makassar, Sulawesi Selatan",ketentuan,administrasi,ketentuan administrasi,2,2,0,2
Marketing Perbankan (CABANG AMBASADOR JAKSEL),https://www.kitalulus.com/lowongan/detail/marketing-perbankan-cabang-ambasador-jaksel-5pw7,PT Timexs Indonesia,"Jakarta Selatan, DKI Jakarta",ketentuan,keterampilan komunikasi,ketentuan keterampilan komunikasi,1,7,2,7
CREW OUTLET GOLQI CHICKEN MAROS,https://www.kitalulus.com/lowongan/detail/crew-outlet-golqi-chicken-maros-s93l,PT Golqi Sukses Mulia,"Kabupaten Maros, Sulawesi Selatan",ketentuan,keterampilan memasak keterampilan pelayanan makanan minuman,ketentuan keterampilan memasak keterampilan pelayanan makanan minuman,1,8,2,8
Admin Service,https://www.kitalulus.com/lowongan/detail/admin-service-whdw,PT  Yongwang electronics indonesia,"Kota Bandung, Jawa Barat",minim 1,akurasi administrasi analisi berkomunikasi bahasa inggri administrasi rekaman,minim 1 akurasi administrasi analisi berkomunikasi bahasa inggri administrasi rekaman,1,9,0,9
Therapist Salon  (Jakarta Timur),https://www.kitalulus.com/lowongan/detail/therapist-salon-jakarta-timur-u6x0,Salon Christopher,"Jakarta Timur, DKI Jakarta",ketentuan,manikur pedikur alat manikur pijat keterampilan pijat,ketentuan manikur pedikur alat manikur pijat keterampilan pijat,0,10,0,10
Junior Caregiver Assistant,https://www.kitalulus.com/lowongan/detail/junior-caregiver-assistant-whfl,PT ASTA DAHAYU CONSULTING,"Jakarta Timur, DKI Jakarta",ketentuan,kemampuan menyesuaikan kebutuhan layanan pelanggan berorientasi layanan,ketentuan kemampuan menyesuaikan kebutuhan layanan pelanggan berorientasi layanan,1,11,2,11
SGS/SDS SMARTFREN KUDUS,https://www.kitalulus.com/lowongan/detail/sgssds-smartfren-kudus-7zpi,PT Artha Kreasi Utama,"Kabupaten Kudus, Jawa Tengah",minim 1,motor,minim 1 motor,1,12,1,12
